id,filename,kind,extension,url,downloadable_from_context,notes
D001,SFBayACM Judging Guidelines.docx,whatsapp_attachment,.docx,,False,"Visible in chat, but actual WhatsApp file URL not exposed in provided page context."
D002,Science Fair Scoring (Round 1).docx,whatsapp_attachment,.docx,,False,"Visible in chat, but actual WhatsApp file URL not exposed in provided page context."
D003,Science Fair Scoring (Round 2) Interview.docx,whatsapp_attachment,.docx,,False,"Visible in chat, but actual WhatsApp file URL not exposed in provided page context."
D004,2026_ACMSV_209_floor_map_0303.pdf,whatsapp_attachment,.pdf,,False,"Visible in chat, but actual WhatsApp file URL not exposed in provided page context."
D005,ACM_PreScreen_Access_After.xlsx - Upper Division.pdf,whatsapp_attachment,.pdf,,False,"Visible in chat, but actual WhatsApp file URL not exposed in provided page context."
D006,ACM_PreScreen_Access_After.xlsx - Lower Division.pdf,whatsapp_attachment,.pdf,,False,"Visible in chat, but actual WhatsApp file URL not exposed in provided page context."
D007,2026_Science_Fair_In_person_Lower_D_Judges_Projects.xlsx - Lower.pdf,whatsapp_attachment,.pdf,,False,"Visible in chat, but actual WhatsApp file URL not exposed in provided page context."
D008,2026_Science_Fair_In_person_Upper_D_Judges_Projects.xlsx - Upper.pdf,whatsapp_attachment,.pdf,,False,"Visible in chat, but actual WhatsApp file URL not exposed in provided page context."
D009,2026_ACMSV_209_floor_map_0303.pdf,whatsapp_attachment,.pdf,,False,Duplicate filename appeared more than once in chat history.
D010,Upper Division Projects for In-Person Judging,drive_linked_document,,https://drive.google.com/file/d/1wGzoBjRBvUpeMoyAbPIA4eUCJy5FfVGD/view?usp=drive_link,True,Linked in chat via Google Drive.
D011,Projects for In-Person Judging,drive_linked_document,,https://drive.google.com/file/d/14PlOtv0-qw75NA7TEJIMqDmsdeYpD6Rv/view?usp=drive_link,True,Linked in chat via Google Drive.
D012,Guideline Documents for Round1 and Round2,drive_linked_document,,https://drive.google.com/drive/folders/1178PsIWgOJZo-203l3WcV6xTepX00pkM?usp=drive_link,True,Linked in chat via Google Drive folder.
D013,Floor Map,drive_linked_document,,https://drive.google.com/file/d/1kHU1LdD8djtzncaKL0SofkBnkRk54XqC/view?usp=drive_link,True,Linked in chat via Google Drive.
