order,date,project_code,division,category,title,drive_folder_url,local_abstract_pdf,local_project_pdf
01,2026-05-20,A31,Upper,SoftEng,Indoor Navigation for the Blind Using Vision Models and Floor Plan Integration,https://drive.google.com/drive/folders/1u6ygbmNet8bZ3pI3RsLFEHCQnqrmchbi,docs/judging/sachin_n/projects/01_A31/abstract/A31 Abstract.pdf,
02,2026-05-22,A49,Upper,SoftEng,"A novel, multistep neural network approach to improve anomaly detection in online operational status",https://drive.google.com/drive/folders/12s0NUGQAa9psEZ5SydQPRShawfXCt9jS,docs/judging/sachin_n/projects/02_A49/abstract/A49.Abstract.pdf,
03,2026-05-18,A59,Upper,SoftEng,ROCA: A Dynamic Metaheuristic Framework for Route Optimization Using Context-Aware Simulation of Ant Colony Systems,https://drive.google.com/drive/folders/1mSpY4i0basUULyRQk6lzUuSZASyWCIbM,docs/judging/sachin_n/projects/03_A59/abstract/A59-Abstract.pdf,
04,2026-05-24,A73,Upper,SoftEng,Real-time Disaster Search & Rescue System utilizing Semantic Segmentation and Object Recognition onboard Fixed-wing UAV,https://drive.google.com/drive/folders/1RZGG1iGRCSWn9DhIVFrtusqrC-saTohy,docs/judging/sachin_n/projects/04_A73/abstract/A73.Abstract.pdf,
05,2026-05-26,A74,Upper,SoftEng,Fuzzing the Proofs: Designing a Coverage-guided Software to Reveal Vulnerabilities in Zero-Knowledge Proofs,https://drive.google.com/drive/folders/1ulr5dC9L8X4S8Cndx2WWve79tGuNswcv,docs/judging/sachin_n/projects/05_A74/abstract/A74.Abstract.pdf,
06,2026-05-15,E13,Upper,Math,A Convex Directional Spline Approach with Huber-Regularized Loss for Stable Deep Optimization,https://drive.google.com/drive/folders/1YgWHTnSf4Azf1iJD9MijVjINKAVfhQ-p,docs/judging/sachin_n/projects/06_E13/abstract/E13.Abstract.pdf,
07,2026-05-12,H35,Upper,Math,Combinatorial Game and Graph Decisions for Faster and More Accurate Solvers in Discretized Domains,https://drive.google.com/drive/folders/1Mk0A0qLoPNUQMCrYX1Lx8B9CoNSKTH7E,docs/judging/sachin_n/projects/07_H35/abstract/H35.Abstract.pdf,
08,2026-05-23,L92,Upper,SoftEng,Optimizing Barter Trading Networks,https://drive.google.com/drive/folders/1yv4raDy3b8NafOc2p-PH5ICI3IlXNPNT,docs/judging/sachin_n/projects/08_L92/abstract/L92.Abstract.pdf,
09,2026-05-21,O82,Upper,SoftEng,From Raw Stats to Real Answers: Building an AI Assistant for NBA Analytics,https://drive.google.com/drive/folders/16E_VIKPBrUkdgRwuvEoAKoB2wFuzX6cB,docs/judging/sachin_n/projects/09_O82/abstract/Project-abstract-interactive-250-Revised-2023-INT.pdf,
10,2026-05-16,P99,Upper,Math,Online Learning of Smooth Functions with Caps,https://drive.google.com/drive/folders/1LAK9doBlRgLhr-nvyt0qZMmxnyFIzAl5,docs/judging/sachin_n/projects/10_P99/abstract/P99.Abstract.pdf,
11,2026-05-25,Q38,Upper,SoftEng,"A Deep Learning Approach for Multimodal Classification of Cognitive Patterns Using Speech, Drawing, and Gamified Tasks",https://drive.google.com/drive/folders/1wB3Wv7jMK4gjt11360-lBU1hOFvOGxQ4,docs/judging/sachin_n/projects/11_Q38/abstract/Q38.Abstract.pdf,
12,2026-05-17,R16,Upper,Math,On the Distance Distribution of Reed-Muller Codes,https://drive.google.com/drive/folders/1ncbSzjmFoGnxK2n11lGriZg-EhLEO2RO,docs/judging/sachin_n/projects/12_R16/abstract/R16.Abstract.pdf,
